Age;Gender;MarStat;Housing;Educ;Inc_Gr;Children;IQ;Client;rate;cost_type;Default_flg
20;0;4;2;3;4;2;72,08627959;1840;0,067385564;www;0
24;0;4;1;3;4;0;74,77210122;1889;0,067385564;www;1
20;0;4;2;3;4;0;63,34081923;4001;0,067385564;www;0
25;0;4;2;3;4;2;82,634891;4164;0,067385564;www;0
26;0;1;2;3;4;0;83,4492561;4830;0,067385564;www;0
27;0;1;1;3;4;2;85,49341916;5311;0,067385564;www;0
23;0;1;1;3;4;2;78,73221971;7033;0,067385564;www;1
26;0;4;2;3;4;0;75,10317068;7080;0,067385564;www;0
25;0;1;1;3;4;2;79,99420993;7132;0,067385564;www;0
26;0;1;2;3;4;2;90,43676245;7366;0,067385564;www;0
23;0;1;2;3;4;2;80,93659734;7394;0,067385564;www;0
18;0;1;1;3;4;2;47,33858858;7633;0,067385564;www;1
26;0;1;2;3;4;2;88,86961328;7837;0,067385564;www;0
24;0;4;2;3;4;0;83,53272513;9962;0,067385564;www;0
23;0;1;1;2;3;1;76,35597353;6167;0,094676202;www;0
25;0;1;2;2;3;1;84,35697628;7536;0,094676202;www;0
26;0;4;2;1;1;1;83,9431073;34;0,111843258;www;1
25;0;4;1;1;2;1;75,93782535;133;0,111843258;www;0
23;0;1;2;1;2;1;73,86780984;260;0,111843258;www;1
25;0;4;2;1;2;1;71,81615147;548;0,111843258;www;1
26;0;1;2;1;1;1;84,99708292;1419;0,111843258;www;0
18;0;1;2;1;1;1;54,07072793;1891;0,111843258;www;1
24;0;4;1;1;2;1;77,9659857;2106;0,111843258;www;1
19;0;1;1;2;2;1;68,48623964;2444;0,111843258;www;0
26;0;1;2;4;4;1;85,41487391;2540;0,111843258;www;0
18;0;1;2;1;2;1;66,59940685;2799;0,111843258;www;0
22;0;1;2;4;4;1;71,16882065;2969;0,111843258;www;0
21;0;4;1;1;1;1;65,20565371;3301;0,111843258;www;1
26;0;1;2;2;2;1;82,19640862;3319;0,111843258;www;0
19;0;4;1;1;1;1;66,77464699;3458;0,111843258;www;0
27;0;4;2;1;2;1;83,16757013;4509;0,111843258;www;1
27;0;1;1;4;4;1;94,99479381;4685;0,111843258;www;0
22;0;1;2;1;2;1;64,30075049;4952;0,111843258;www;0
24;0;1;2;4;4;1;73,84028263;4994;0,111843258;www;0
20;0;4;2;2;2;1;65,65000351;5168;0,111843258;www;1
22;0;4;1;1;2;1;80,14294615;5346;0,111843258;www;1
24;0;1;1;2;2;1;73,27165781;5432;0,111843258;www;1
21;0;4;2;1;2;1;64,43784922;5650;0,111843258;www;1
24;0;4;2;4;4;1;71,18457987;5735;0,111843258;www;0
26;0;4;1;1;1;1;87,22121295;5874;0,111843258;www;0
22;0;4;1;1;1;1;68,87890703;6877;0,111843258;www;1
27;0;1;2;1;1;1;83,38234407;6890;0,111843258;www;0
23;0;4;2;1;1;1;82,31831407;7244;0,111843258;www;1
20;0;1;2;1;2;1;65,99723687;7494;0,111843258;www;1
27;0;1;1;1;2;1;92,34377647;7955;0,111843258;www;0
23;0;4;1;1;1;1;72,84401514;8140;0,111843258;www;1
22;0;1;1;1;1;1;75,40119359;8756;0,111843258;www;1
19;0;1;2;4;4;1;65,95804311;9038;0,111843258;www;0
22;0;4;1;2;2;1;74,69444847;9360;0,111843258;www;1
25;0;1;2;1;1;1;84,42032847;9571;0,111843258;www;1
26;0;4;1;1;2;1;84,90523401;9591;0,111843258;www;0
26;0;1;2;1;2;2;87,62978836;105;0,111843258;www;0
23;0;4;2;2;2;2;68,8497535;283;0,111843258;www;1
22;0;1;1;1;2;2;74,61657929;486;0,111843258;www;1
27;0;4;2;1;2;3;79,06929448;699;0,111843258;www;0
25;0;1;1;4;4;0;85,14472536;1243;0,111843258;www;1
18;0;1;1;1;1;2;53,64759432;1513;0,111843258;www;0
22;0;1;1;4;4;2;74,01553831;1744;0,111843258;www;0
19;0;1;1;1;2;2;61,58620123;1819;0,111843258;www;1
23;0;1;1;1;1;2;75,825166;2364;0,111843258;www;1
20;0;4;2;1;1;2;71,91443742;2559;0,111843258;www;1
23;0;1;1;1;1;0;76,08210491;2633;0,111843258;www;0
18;0;1;2;1;1;2;66,60257206;2867;0,111843258;www;1
22;0;1;1;1;1;2;75,77157249;3502;0,111843258;www;1
24;0;4;1;1;1;2;72,43567516;3826;0,111843258;www;0
21;0;4;2;1;1;2;67,80987817;3865;0,111843258;www;1
20;0;4;2;1;2;0;70,12367888;4053;0,111843258;www;1
24;0;1;1;1;2;0;74,84589544;4451;0,111843258;www;1
25;0;1;1;1;1;2;85,43007564;4542;0,111843258;www;1
18;0;4;1;4;4;2;69,44837316;5104;0,111843258;www;0
25;0;1;1;4;4;2;78,41534341;5113;0,111843258;www;0
24;0;4;2;1;1;2;71,68298489;5335;0,111843258;www;1
27;0;4;1;1;2;0;89,17223531;5556;0,111843258;www;0
19;0;1;2;1;1;2;63,77454818;5848;0,111843258;www;0
22;0;4;2;1;1;2;68,60936867;5863;0,111843258;www;1
19;0;1;2;4;4;0;69,00311286;5897;0,111843258;www;0
22;0;4;1;1;2;2;78,47189923;5998;0,111843258;www;1
20;0;4;2;4;4;2;72,41216544;6082;0,111843258;www;0
25;0;4;2;1;1;2;81,27363996;6231;0,111843258;www;1
24;0;4;1;4;4;0;72,09478612;6305;0,111843258;www;1
24;0;4;1;1;1;2;69,2797097;6428;0,111843258;www;1
26;0;4;2;1;1;2;95,80548836;6710;0,111843258;www;0
25;0;4;2;1;2;0;74,17274507;6755;0,111843258;www;1
25;0;1;2;1;1;0;76,22338341;6875;0,111843258;www;0
22;0;4;2;1;1;2;70,67207322;6914;0,111843258;www;1
25;0;4;2;4;4;2;76,22827412;6961;0,111843258;www;1
25;0;1;2;1;2;2;81,90597691;7051;0,111843258;www;0
26;0;4;1;4;4;2;71,96655184;7058;0,111843258;www;0
23;0;4;2;1;1;2;74,39688011;7405;0,111843258;www;0
26;0;1;2;1;2;3;79,91674398;7552;0,111843258;www;0
24;0;4;1;2;2;2;78,36794956;7999;0,111843258;www;1
27;0;1;2;1;2;2;94,81893683;8216;0,111843258;www;0
27;0;1;2;2;2;2;85,15014536;8238;0,111843258;www;0
22;0;4;1;4;4;2;80,83806857;8390;0,111843258;www;0
26;0;1;1;2;2;0;80,74801361;8707;0,111843258;www;1
24;0;4;2;4;4;0;77,74386572;8988;0,111843258;www;0
24;0;1;1;1;1;2;73,90744706;9074;0,111843258;www;1
25;0;4;1;1;1;2;84,20178149;9125;0,111843258;www;0
26;0;1;2;4;4;0;82,14914808;9316;0,111843258;www;0
25;0;4;2;1;2;2;82,29307412;9728;0,111843258;www;1
18;0;4;2;1;2;0;65,21231525;9752;0,111843258;www;1
27;0;4;3;3;3;1;87,50395038;1424;0,05;www;0
27;0;1;3;3;3;1;81,20478253;1949;0,05;www;0
24;0;1;3;3;3;1;77,98318778;2301;0,05;www;0
26;0;4;3;3;3;1;76,34563443;2642;0,05;www;0
27;0;4;3;3;3;1;85,34172256;4254;0,05;www;0
27;0;1;3;3;3;1;84,92905865;8679;0,05;www;0
21;0;1;3;3;3;2;68,47030277;471;0,05;www;0
21;0;4;3;3;3;2;70,45625215;2291;0,05;www;0
26;0;1;3;3;3;0;77,66547586;2851;0,05;www;0
25;0;1;3;3;3;2;83,84635434;3410;0,05;www;0
26;0;1;3;3;3;0;87,51009716;3419;0,05;www;0
18;0;4;3;3;3;0;63,03739566;3498;0,05;www;0
18;0;4;3;3;3;0;63,51836229;4108;0,05;www;0
27;0;4;3;3;3;2;81,98299798;4199;0,05;www;0
21;0;4;3;3;3;0;68,65105746;5867;0,05;www;0
22;0;1;3;3;3;0;72,14990028;6248;0,05;www;0
27;0;1;3;3;3;0;95,21961107;6285;0,05;www;0
27;0;1;3;3;3;0;82,53348876;7012;0,05;www;0
26;0;4;3;3;3;0;92,18027944;7506;0,05;www;0
25;0;4;3;3;3;3;82,87908351;7572;0,05;www;0
27;0;1;3;3;3;0;83,28597147;8846;0,05;www;0
25;0;4;3;3;3;0;75,70344001;8993;0,05;www;1
22;0;4;3;3;3;2;63,83555475;9127;0,05;www;0
22;0;1;3;3;3;2;75,36655123;9419;0,05;www;0
20;0;4;3;3;3;2;71,75095912;9803;0,05;www;0
21;0;1;3;3;4;1;74,66190796;1953;0,05;www;0
25;0;4;3;3;4;1;88,12388083;3749;0,05;www;1
25;0;1;3;3;4;1;85,40798673;4197;0,05;www;0
19;0;1;3;3;4;1;67,16259616;9197;0,05;www;1
21;0;1;3;3;4;1;70,97610955;9362;0,05;www;0
20;0;1;3;3;4;1;76,47667915;9858;0,05;www;0
18;0;1;3;3;4;2;66,9084764;693;0,05;www;1
21;0;4;3;3;4;2;63,55572912;2715;0,05;www;0
18;0;1;3;3;4;0;53,19027652;5354;0,05;www;0
19;0;4;3;3;4;2;61,08266405;9604;0,05;www;1
27;0;1;3;2;3;2;89,48420113;1580;0,05;www;0
25;0;1;3;2;3;2;85,1913174;8502;0,05;www;0
27;0;4;3;4;4;1;87,73995688;109;0,05;www;0
22;0;1;3;2;2;1;74,50578771;374;0,05;www;0
27;0;1;3;4;4;1;82,77451898;447;0,05;www;0
23;0;4;3;1;2;1;72,86631567;632;0,05;www;0
25;0;1;3;1;2;1;85,12213708;830;0,05;www;0
24;0;1;3;1;1;1;77,2332616;877;0,05;www;0
27;0;1;3;1;1;1;83,90728627;1623;0,05;www;0
23;0;4;3;1;1;1;71,49380793;1649;0,05;www;0
19;0;4;3;2;2;1;67,58649345;2196;0,05;www;1
27;0;4;3;1;1;1;82,50231205;2806;0,05;www;0
27;0;1;3;1;1;1;84,25952264;3076;0,05;www;0
27;0;4;3;1;1;1;90,0550312;3385;0,05;www;1
25;0;4;3;2;2;1;74,86369696;3735;0,05;www;0
26;0;4;3;1;1;1;84,39210657;3847;0,05;www;0
23;0;1;3;4;4;1;78,34678389;3921;0,05;www;0
24;0;4;3;4;4;1;76,96070782;4543;0,05;www;0
24;0;4;3;1;1;1;77,50255335;6091;0,05;www;1
27;0;4;3;1;1;1;93,70360312;6122;0,05;www;0
18;0;4;3;1;1;1;60,27746866;6926;0,05;www;0
27;0;1;3;4;4;1;93,86924172;7001;0,05;www;0
19;0;1;3;1;1;1;57,24501257;7680;0,05;www;1
24;0;4;3;2;2;1;80,67708812;7932;0,05;www;0
19;0;4;3;2;2;2;76,40803956;1197;0,05;www;0
26;0;4;3;1;2;2;96,97137772;3178;0,05;www;0
21;0;4;3;1;2;2;65,96011522;3354;0,05;www;0
18;0;4;3;4;4;2;53,23239651;3939;0,05;www;0
18;0;1;3;4;4;0;56,56385083;4401;0,05;www;0
20;0;1;3;2;2;0;67,39257417;4561;0,05;www;1
22;0;1;3;1;1;0;73,41745235;4806;0,05;www;0
21;0;1;3;2;2;2;67,49738099;5571;0,05;www;0
25;0;4;3;1;1;2;78,21363875;5869;0,05;www;0
27;0;1;3;4;4;0;85,50527616;6728;0,05;www;0
24;0;1;3;1;1;0;80,83896885;8700;0,05;www;0
26;0;1;3;1;2;0;88,9461628;8730;0,05;www;0
25;0;1;3;1;1;3;84,84559751;9970;0,05;www;0
20;0;4;4;3;3;1;64,45730299;673;0,05;www;0
24;0;1;4;3;3;1;74,1431291;811;0,05;www;0
27;0;4;4;3;3;1;98,56550377;874;0,05;www;0
21;0;4;4;3;3;1;68,20311854;1026;0,05;www;0
26;0;1;4;3;3;1;88,5533417;1152;0,05;www;0
19;0;4;4;3;3;1;57,54035412;2007;0,05;www;0
27;0;1;4;3;3;1;83,58735114;2110;0,05;www;0
27;0;1;4;3;3;1;88,50284532;5400;0,05;www;0
22;0;1;4;3;3;1;70,63716075;7257;0,05;www;0
25;0;4;4;3;3;1;93,23930941;9502;0,05;www;0
18;0;4;4;3;3;2;57,66185086;1176;0,05;www;0
22;0;1;4;3;3;2;65,87428697;1470;0,05;www;0
18;0;4;4;3;3;2;58,72303328;2465;0,05;www;0
24;0;4;4;3;3;0;74,65460194;2995;0,05;www;1
19;0;4;4;3;3;2;67,28489272;5421;0,05;www;0
26;0;4;4;3;3;0;85,78129834;6176;0,05;www;1
19;0;1;4;3;3;0;65,49559356;6898;0,05;www;0
25;0;4;4;3;3;2;85,78953184;7291;0,05;www;0
20;0;1;4;3;3;2;60,95456412;7294;0,05;www;0
22;0;1;4;3;3;2;78,10126503;8421;0,05;www;0
20;0;1;4;3;3;2;66,61847674;9267;0,05;www;1
23;0;4;4;3;4;1;79,89056829;3693;0,05;www;0
22;0;1;4;3;4;1;72,70309552;4021;0,05;www;1
27;0;1;4;3;4;1;93,51977586;4466;0,05;www;0
20;0;1;4;3;4;1;67,21992621;7168;0,05;www;0
27;0;1;4;3;4;2;86,86334818;1355;0,05;www;0
22;0;4;4;3;4;2;79,41897267;3012;0,05;www;0
26;0;1;4;3;4;2;84,61910407;5391;0,05;www;0
24;0;1;4;3;4;0;71,01034884;5404;0,05;www;0
27;0;4;4;3;4;3;84,7261817;9644;0,05;www;0
27;0;1;4;3;4;2;91,07136894;9933;0,05;www;0
25;0;1;4;2;3;1;78,14914725;5486;0,05;www;0
25;0;1;4;2;3;1;77,89239212;6440;0,05;www;1
20;0;4;4;2;3;1;59,56710856;7554;0,05;www;0
27;0;1;4;2;3;2;76,03962682;4472;0,05;www;0
26;0;1;4;2;2;1;79,65067043;337;0,053730194;www;0
22;0;1;4;1;1;1;63,71985775;1224;0,053730194;www;1
27;0;4;4;1;1;1;90,8395116;2803;0,053730194;www;0
26;0;4;4;1;2;1;88,05985524;4978;0,053730194;www;1
24;0;4;4;1;2;1;77,29550148;5314;0,053730194;www;0
24;0;1;4;1;1;1;67,0447478;8258;0,053730194;www;1
24;0;4;4;1;1;1;76,44012803;8979;0,053730194;www;1
24;0;4;4;1;2;1;80,35089904;9403;0,053730194;www;0
27;0;4;4;1;1;1;86,90116744;9453;0,053730194;www;0
26;0;1;4;1;2;2;81,52921804;346;0,053730194;www;0
24;0;4;4;4;4;0;76,40963341;873;0,053730194;www;0
25;0;1;4;1;1;2;81,95150631;1548;0,053730194;www;0
26;0;1;4;1;1;2;87,08479608;1969;0,053730194;www;1
24;0;4;4;1;1;0;79,44470739;2173;0,053730194;www;1
21;0;1;4;1;1;0;75,02219558;3257;0,053730194;www;0
25;0;1;4;1;2;2;83,10445123;3564;0,053730194;www;1
21;0;4;4;1;1;3;73,86359161;4309;0,053730194;www;0
26;0;1;4;1;2;2;84,10395545;4434;0,053730194;www;0
22;0;1;4;1;2;2;72,00181237;4914;0,053730194;www;1
26;0;4;4;4;4;2;75,75632041;5776;0,053730194;www;0
25;0;1;4;1;1;3;85,16934104;5830;0,053730194;www;0
23;0;1;4;1;1;2;71,88673398;5915;0,053730194;www;1
20;0;1;4;4;4;2;63,49487434;6111;0,053730194;www;0
20;0;4;4;4;4;2;69,41281601;6403;0,053730194;www;0
24;0;4;4;1;2;0;77,68150637;6738;0,053730194;www;1
26;0;4;4;1;2;2;91,88492048;7114;0,053730194;www;1
24;0;4;4;1;2;0;77,88562467;7228;0,053730194;www;0
25;0;4;4;1;2;0;85,89569738;7601;0,053730194;www;1
24;0;4;4;1;1;0;75,74822686;7815;0,053730194;www;0
23;0;1;4;2;2;0;82,09418627;8980;0,053730194;www;0
26;0;4;4;1;1;2;86,72918392;9000;0,053730194;www;0
18;0;4;4;1;1;2;69,2424327;9214;0,053730194;www;1
27;0;4;4;2;2;0;94,35230015;9265;0,053730194;www;0
23;0;1;4;2;2;0;73,42500721;9767;0,053730194;www;0
27;0;3;2;3;3;1;83,50717347;122;0,05;www;0
24;0;3;1;3;3;1;80,39371642;4511;0,05;www;0
20;0;3;2;3;3;1;69,09879594;7827;0,05;www;0
19;0;3;1;3;3;2;64,3328385;5031;0,05;www;0
24;0;3;1;3;3;2;82,62710201;5509;0,05;www;0
27;0;3;2;3;3;0;85,59391086;5530;0,05;www;0
27;0;3;1;3;3;2;78,02544635;5859;0,05;www;0
25;0;3;1;3;3;2;87,58133946;6106;0,05;www;0
26;0;3;2;3;3;0;91,04083873;7196;0,05;www;0
24;0;3;2;3;3;2;70,35274637;7226;0,05;www;0
21;0;3;1;3;3;2;73,99736082;7233;0,05;www;0
26;0;3;1;3;3;2;89,04509271;7772;0,05;www;0
25;0;3;2;3;3;2;80,81753333;7998;0,05;www;1
24;0;3;1;3;3;2;69,19794964;8088;0,05;www;0
23;0;3;1;3;3;2;74,97900389;9538;0,05;www;0
27;0;3;1;3;4;1;78,79132834;1703;0,05;www;0
20;0;3;1;3;4;1;60,85513402;1764;0,05;www;0
27;0;3;1;3;4;1;81,95974979;3032;0,05;www;0
27;0;3;1;3;4;1;87,40305325;6736;0,05;www;0
20;0;3;2;3;4;1;57,16504989;6974;0,05;www;0
21;0;3;1;3;4;1;61,45114753;8790;0,05;www;0
20;0;3;2;3;4;2;66,31122405;904;0,05;www;1
25;0;3;2;3;4;0;86,96357415;2921;0,05;www;0
23;0;3;1;3;4;0;84,75923276;4043;0,05;www;0
27;0;3;2;3;4;0;81,79153905;6128;0,05;www;0
23;0;3;2;3;4;3;73,33258416;6243;0,05;www;0
22;0;3;1;3;4;0;70,6918843;6734;0,05;www;0
25;0;3;1;2;3;1;84,46214419;4828;0,058304364;www;0
22;0;3;2;2;3;2;78,52173582;4032;0,058304364;www;1
23;0;3;1;1;2;1;66,83797796;361;0,07347728;www;0
24;0;3;2;1;1;1;82,57180665;2830;0,07347728;www;1
18;0;3;2;2;2;1;58,21650436;3203;0,07347728;www;0
20;0;3;2;2;2;1;64,36414653;3637;0,07347728;www;0
26;0;3;1;1;1;1;76,91466344;5447;0,07347728;www;0
24;0;3;1;4;4;1;85,06166935;5811;0,07347728;www;0
25;0;3;2;1;1;1;81,27299076;6345;0,07347728;www;0
21;0;3;2;1;1;1;68,11246879;6548;0,07347728;www;1
27;0;3;1;2;2;1;81,24044094;6655;0,07347728;www;0
27;0;3;2;4;4;1;87,34114351;7406;0,07347728;www;0
26;0;3;1;1;1;1;76,77352056;8370;0,07347728;www;0
19;0;3;2;1;1;1;60,8344509;8769;0,07347728;www;0
21;0;3;2;4;4;2;74,17369239;397;0,07347728;www;0
24;0;3;2;2;2;2;73,58559911;572;0,07347728;www;0
23;0;3;1;1;2;2;76,50503239;595;0,07347728;www;1
27;0;3;2;1;2;2;87,44183749;1352;0,07347728;www;0
26;0;3;1;1;1;0;86,32045008;1487;0,07347728;www;0
21;0;3;2;4;4;2;62,2164458;1936;0,07347728;www;0
27;0;3;2;1;1;2;81,38541642;2275;0,07347728;www;0
25;0;3;1;4;4;0;80,56796581;2276;0,07347728;www;1
20;0;3;2;1;2;2;73,42185841;3320;0,07347728;www;1
21;0;3;2;1;2;2;65,0797325;3485;0,07347728;www;1
25;0;3;1;1;1;2;87,42065821;3546;0,07347728;www;1
27;0;3;1;1;1;2;82,84851727;4092;0,07347728;www;0
20;0;3;2;1;1;0;65,7659429;4730;0,07347728;www;1
26;0;3;2;2;2;2;86,0240047;4796;0,07347728;www;0
22;0;3;2;1;2;2;58,70089039;5352;0,07347728;www;0
23;0;3;1;2;2;2;74,68595027;5408;0,07347728;www;0
25;0;3;1;2;2;0;72,76957131;6470;0,07347728;www;1
23;0;3;1;4;4;2;69,89395946;7011;0,07347728;www;0
22;0;3;1;1;1;0;87,28136759;7277;0,07347728;www;1
26;0;3;2;2;2;2;87,30320288;7966;0,07347728;www;0
25;0;3;2;4;4;2;79,93694949;8119;0,07347728;www;0
25;0;3;1;1;1;2;82,4943534;8983;0,07347728;www;0
22;0;3;2;1;1;0;76,76600981;9065;0,07347728;www;0
18;0;3;1;4;4;0;52,64515152;9441;0,07347728;www;0
27;0;3;2;1;2;0;87,60998213;9474;0,07347728;www;0
23;0;3;2;1;2;2;78,62661229;9539;0,07347728;www;1
23;0;3;2;1;2;0;75,28242501;9806;0,07347728;www;1
21;0;3;3;3;3;1;71,68693834;579;0,05;www;0
26;0;3;3;3;3;1;89,60999416;1161;0,05;www;0
23;0;3;3;3;3;1;66,11472417;1402;0,05;www;0
22;0;3;3;3;3;1;75,65370615;8411;0,05;www;1
27;0;3;3;3;3;2;89,80375041;75;0,05;www;0
25;0;3;3;3;3;2;73,99158583;1206;0,05;www;0
25;0;3;3;3;3;2;81,88215582;1633;0,05;www;0
27;0;3;3;3;3;2;99,41405076;1972;0,05;www;0
27;0;3;3;3;3;2;96,26852238;7567;0,05;www;0
25;0;3;3;3;3;2;77,40637836;7845;0,05;www;0
25;0;3;3;3;3;2;79,67180532;9102;0,05;www;0
22;0;3;3;3;3;0;65,08637498;9877;0,05;www;0
18;0;3;3;3;4;1;53,38246659;2336;0,05;www;0
23;0;3;3;3;4;1;72,45532376;4127;0,05;www;1
26;0;3;3;3;4;1;87,24567201;7275;0,05;www;0
27;0;3;3;3;4;1;80,83985957;9171;0,05;www;0
22;0;3;3;3;4;1;81,52694248;9174;0,05;www;0
23;0;3;3;3;4;0;71,62149185;2158;0,05;www;0
18;0;3;3;3;4;2;65,60492262;4004;0,05;www;1
23;0;3;3;3;4;2;68,5687215;6754;0,05;www;0
23;0;3;3;3;4;0;77,24843914;7758;0,05;www;0
27;0;3;3;2;3;0;90,31863161;789;0,05;www;0
23;0;3;3;2;3;2;70,07962829;5481;0,05;www;1
26;0;3;3;2;3;2;83,1701694;5821;0,05;www;0
22;0;3;3;2;3;2;75,82523148;8685;0,05;www;0
21;0;3;3;2;2;1;68,5252808;446;0,05;www;0
23;0;3;3;2;2;1;75,40967625;2960;0,05;www;0
25;0;3;3;1;1;1;78,69834345;3514;0,05;www;0
23;0;3;3;4;4;1;77,43005567;9719;0,05;www;0
24;0;3;3;1;1;0;76,91589964;192;0,05;www;0
26;0;3;3;4;4;0;86,29080202;569;0,05;www;0
19;0;3;3;2;2;2;65,71066736;2360;0,05;www;0
24;0;3;3;1;1;2;75,51000579;4929;0,05;www;0
27;0;3;3;1;1;0;79,62392362;5340;0,05;www;0
22;0;3;3;2;2;0;80,9653537;5396;0,05;www;0
26;0;3;3;1;1;0;79,29253164;5999;0,05;www;0
24;0;3;3;2;2;2;75,16567473;6902;0,05;www;0
25;0;3;3;1;2;0;81,52627822;8893;0,05;www;0
26;0;3;4;3;3;1;76,93065678;289;0,05;www;0
26;0;3;4;3;3;1;79,30387943;540;0,05;www;0
27;0;3;4;3;3;1;83,22839106;6476;0,05;www;0
25;0;3;4;3;3;1;83,36847952;8881;0,05;www;0
25;0;3;4;3;3;1;78,11699136;9723;0,05;www;0
27;0;3;4;3;3;1;91,44820061;9750;0,05;www;0
21;0;3;4;3;3;0;65,25204494;669;0,05;www;0
25;0;3;4;3;3;0;77,76826382;2044;0,05;www;0
22;0;3;4;3;3;0;73,71918424;5919;0,05;www;0
26;0;3;4;3;3;0;88,06336668;7650;0,05;www;0
27;0;3;4;3;3;0;84,19359988;7925;0,05;www;0
27;0;3;4;3;3;0;97,25688793;8443;0,05;www;0
22;0;3;4;3;3;0;72,48594217;8457;0,05;www;0
24;0;3;4;3;4;2;81,6220203;381;0,05;www;0
19;0;3;4;3;4;2;62,01363349;3205;0,05;www;0
21;0;3;4;3;4;2;70,32940616;6181;0,05;www;0
26;0;3;4;3;4;2;86,29119592;8153;0,05;www;0
27;0;3;4;3;4;2;83,63537017;8845;0,05;www;0
26;0;3;4;2;3;1;80,33771432;6683;0,05;www;0
23;0;3;4;2;3;0;74,84380952;2309;0,05;www;0
19;0;3;4;1;1;1;62,40121365;686;0,05;www;1
27;0;3;4;4;4;1;87,22771651;803;0,05;www;0
26;0;3;4;1;2;1;90,02400576;2585;0,05;www;0
21;0;3;4;1;2;1;72,04481318;4371;0,05;www;0
23;0;3;4;4;4;1;72,36391152;5825;0,05;www;0
27;0;3;4;1;1;1;89,05892012;7595;0,05;www;0
27;0;3;4;1;2;1;90,61488927;9380;0,05;www;0
27;0;3;4;1;1;1;89,25672173;9865;0,05;www;0
26;0;3;4;4;4;2;90,15831135;12;0,05;www;0
25;0;3;4;1;2;2;82,91389567;556;0,05;www;0
25;0;3;4;2;2;2;73,29150985;1126;0,05;www;0
22;0;3;4;1;2;0;78,72072707;1912;0,05;www;0
26;0;3;4;1;2;2;84,73413124;1963;0,05;www;0
18;0;3;4;1;1;2;59,15279311;4431;0,05;www;0
25;0;3;4;1;2;0;87,96347152;4576;0,05;www;1
